title,company_name,location,formatted_experience_level,normalized_salary,python,sql,excel,tableau,powerbi
Data Analyst,Coders Data,New York City Metropolitan Area,Entry level,,False,True,False,False,False
Practice Group Senior Data Analyst,"Morgan, Lewis & Bockius LLP","Philadelphia, PA",Mid-Senior level,,True,True,True,False,True
Data Analyst,Community Foundation for a greater Richmond,"Richmond, VA",,,True,True,True,True,True
"Senior/Lead Data Analyst, Finance & Strategy",Chime,"San Francisco, CA",Mid-Senior level,161000.0,True,True,False,False,False
Credit Data Analyst 3 (Remote),Nordstrom,"Centennial, CO",Mid-Senior level,129750.0,False,True,True,False,False
Credit Data Analyst 2 (Remote),Nordstrom,United States,Mid-Senior level,110750.0,True,True,False,False,False
Part-time Mentor - Data Analyst/Business Analyst (DABA),Interview Kickstart,United States,Mid-Senior level,,True,True,False,True,False
Data Analyst,Catapult Solutions Group,Cincinnati Metropolitan Area,Mid-Senior level,125000.0,False,False,True,True,False
Data Analyst,"First Tek, Inc.","Los Angeles County, CA",Associate,,False,True,True,False,False
Data Analyst,"TechGroup America ""TGA"" - A Software Development, Data Analytics and Digital IT Solutions Enterprise","Los Angeles, CA",,,False,True,False,False,False
Data Management – Business Data Analyst,Softcom Systems Inc,"Dallas, TX",,,False,True,True,False,False
Data Analyst 1 - 10315,blueStone Staffing,United States,Associate,57200.0,False,True,True,False,False
Snowflake Data Analyst,SysMind,"New York, NY",,,False,True,False,False,False
Business Data Analyst,Alpha Net,"Fremont, CA",,,False,True,False,True,False
Data Analyst,Vervent,"San Diego, CA",Associate,69780.0,False,False,True,False,True
"Data Analyst, Medicare Sales & Retention",Healthfirst,"New York, NY",Entry level,,True,True,True,True,False
Data Analyst,ektello,"Warren, MI",Entry level,62400.0,False,True,False,False,False
Data Analyst,STONE Resource Group,"Roswell, GA",Associate,78000.0,False,False,True,False,True
Business Data Analyst,Cypress HCM,Los Angeles Metropolitan Area,Associate,,False,True,False,False,False
Data Analyst,Intellectt Inc,"Alameda, CA",Mid-Senior level,,True,True,True,False,True
Senior Data Analyst,Stanley David and Associates,"Charlotte, NC",,,False,True,False,False,False
Data Analyst II,Experis,"Alameda, CA",Entry level,,True,True,True,False,True
Senior Data Analyst - Alteryx ,truData Solutions,"Santa Monica, CA",Mid-Senior level,,True,True,True,True,True
Data Analyst,Lume Consulting Group,Greater Sacramento,,,False,False,False,False,False
Talent Management Consultant / Data Analyst,Experis,"Princeton, NJ",Mid-Senior level,,False,False,True,False,False
